Project	WBSPathID	ViewpointWBS	CostAccountID	ChangeID	Quantity	UOM	Hours	Cost	ResourceID	Description	TransactionDate	ExternalKey
	3052134.99.999998.34		34	CHG-000001	-1.00	LS	0.00	0.00			2018-01-01	
	3052134.99.999998.34		34	CHG-000001	0.00	LS	0.00	0.00			2018-01-01	
	PSC223.10.01100200000.20		Default	CHG-000001	0.00		0.00	0.00			2018-01-01	
	PSC223.10.01100200000.20		Default	CHG-000001	0.00		0.00	-50.00			2018-01-01	
	PSC223.10.01100200000.24		Default	CHG-000001	0.00		0.00	50.00			2018-01-01	
	PSC223.10.01101300000.11		11	CHG-001	0.00		657.00	25000.00		Mobilization	2019-08-05	
	PSC223.10.01101300000.15		15	CHG-001	0.00		0.00	850.00		Mobilization	2019-08-05	
	PSC223.10.01101430000.11		11	CHG-001	0.00		480.00	25000.00		Superintendent	2019-08-05	
	PSC223.10.01101430000.15		15	CHG-001	0.00		0.00	900.00		Superintendent	2019-08-05	
	PSC223.11.01111000000.31		31	CHG-002	6.00		0.00	3000.00		Rented Eqp for Demo	2019-09-05	
	PSC223.11.01111000000.41		41	CHG-002	0.00		0.00	3000.00		Demo subcontract	2019-09-05	
