TableName	KeyString	Co	RecType	FieldName	OldValue	NewValue	DateTime	UserName	AuditID	HostName
bJCCD                         	JCCo: 12 Job: 43354- Phase: 0002-     - Mth: Apr  1 2020 12:00AM Cost Trans: 197373	12	D	None	None	None	2020-04-24 08:43:03.560000	PRIM\rreynolds	141449438	VNYPVW-XAEP01	
bJCCD                         	JCCo: 12 Job: 43354- Phase: 0002-     - Mth: Apr  1 2020 12:00AM Cost Trans: 197374	12	D	None	None	None	2020-04-24 08:43:03.577000	PRIM\rreynolds	141449439	VNYPVW-XAEP01	
bJCCD                         	JCCo: 12 Job: 43354- Phase: 0002-     - Mth: Apr  1 2020 12:00AM Cost Trans: 197375	12	D	None	None	None	2020-04-24 08:43:03.590000	PRIM\rreynolds	141449440	VNYPVW-XAEP01	
bJCCD                         	JCCo: 12 Job: 43354- Phase: 0002-     - Mth: Apr  1 2020 12:00AM Cost Trans: 197376	12	D	None	None	None	2020-04-24 08:43:03.617000	PRIM\rreynolds	141449441	VNYPVW-XAEP01	
bJCCD                         	JCCo: 12 Job: 43354- Phase: 0045-     - Mth: Apr  1 2020 12:00AM Cost Trans: 197389	12	D	None	None	None	2020-04-24 08:43:03.947000	PRIM\rreynolds	141449442	VNYPVW-XAEP01	
bJCCD                         	JCCo: 12 Job: 43354- Phase: 0045-     - Mth: Apr  1 2020 12:00AM Cost Trans: 197390	12	D	None	None	None	2020-04-24 08:43:04.383000	PRIM\rreynolds	141449443	VNYPVW-XAEP01	
bJCCD                         	JCCo: 12 Job: 43354- Phase: 0075-     -      Mth: Apr  1 2020 12:00AM Cost Trans: 197396	12	D	None	None	None	2020-04-24 08:43:04.560000	PRIM\rreynolds	141449444	VNYPVW-XAEP01	
bJCCD                         	JCCo: 12 Job: 43354- Phase: 0205-     - Mth: Apr  1 2020 12:00AM Cost Trans: 197404	12	D	None	None	None	2020-04-24 08:43:04.667000	PRIM\rreynolds	141449445	VNYPVW-XAEP01	
bJCCD                         	JCCo: 12 Job: 43354- Phase: 0240-     -      Mth: Apr  1 2020 12:00AM Cost Trans: 197411	12	D	None	None	None	2020-04-24 08:43:04.810000	PRIM\rreynolds	141449447	VNYPVW-XAEP01	
bJCCD                         	JCCo: 12 Job: 43354- Phase: 0240-     - Mth: Apr  1 2020 12:00AM Cost Trans: 197412	12	D	None	None	None	2020-04-24 08:43:04.830000	PRIM\rreynolds	141449448	VNYPVW-XAEP01	
bJCCD                         	JCCo: 12 Job: 43354- Phase: 0241-     - Mth: Apr  1 2020 12:00AM Cost Trans: 197414	12	D	None	None	None	2020-04-24 08:43:04.867000	PRIM\rreynolds	141449449	VNYPVW-XAEP01	
bJCCD                         	JCCo: 12 Job: 43354- Phase: 0245-     - Mth: Apr  1 2020 12:00AM Cost Trans: 197416	12	D	None	None	None	2020-04-24 08:43:04.910000	PRIM\rreynolds	141449450	VNYPVW-XAEP01	
bJCCD                         	JCCo: 12 Job: 43354- Phase: 0336-     - Mth: Apr  1 2020 12:00AM Cost Trans: 197430	12	D	None	None	None	2020-04-24 08:43:05.030000	PRIM\rreynolds	141449452	VNYPVW-XAEP01	
bJCCD                         	JCCo: 12 Job: 43354- Phase: 0336-     - Mth: Apr  1 2020 12:00AM Cost Trans: 197431	12	D	None	None	None	2020-04-24 08:43:05.063000	PRIM\rreynolds	141449453	VNYPVW-XAEP01	
bJCCD                         	JCCo: 12 Job: 43354- Phase: 0342-     - Mth: Apr  1 2020 12:00AM Cost Trans: 197442	12	D	None	None	None	2020-04-24 08:43:05.163000	PRIM\rreynolds	141449454	VNYPVW-XAEP01	
bJCCD                         	JCCo: 12 Job: 43354- Phase: 0350-     -      Mth: Apr  1 2020 12:00AM Cost Trans: 197447	12	D	None	None	None	2020-04-24 08:43:05.260000	PRIM\rreynolds	141449455	VNYPVW-XAEP01	
bJCCD                         	JCCo: 12 Job: 43354- Phase: 0355-     - Mth: Apr  1 2020 12:00AM Cost Trans: 197449	12	D	None	None	None	2020-04-24 08:43:05.307000	PRIM\rreynolds	141449456	VNYPVW-XAEP01	
bJCCD                         	JCCo: 12 Job: 43354- Phase: 0355-     - Mth: Apr  1 2020 12:00AM Cost Trans: 197450	12	D	None	None	None	2020-04-24 08:43:05.347000	PRIM\rreynolds	141449457	VNYPVW-XAEP01	
